Date,"Boston, MA Regular All Formulations Retail Gasoline Prices (Dollars per Gallon)",Chicago Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),"Cleveland, OH Regular All Formulations Retail Gasoline Prices (Dollars per Gallon)",Denver Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),Houston Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),Los Angeles Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),"Miami, FL Regular All Formulations Retail Gasoline Prices (Dollars per Gallon)",New York City Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),San Francisco Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),"Seattle, WA Regular All Formulations Retail Gasoline Prices (Dollars per Gallon)"
Jun-2000,,2.034,,1.566,1.526,1.543,,1.663,1.77,
Jul-2000,,1.57,,1.605,1.537,1.597,,1.696,1.856,
Aug-2000,,1.365,,1.497,1.463,1.541,,1.638,1.854,
Sep-2000,,1.52,,1.543,1.447,1.682,,1.629,1.957,
Oct-2000,,1.512,,1.529,1.418,1.7,,1.611,1.949,
Nov-2000,,1.528,,1.538,1.397,1.646,,1.605,1.92,
Dec-2000,,1.443,,1.497,1.351,1.582,,1.569,1.847,
Jan-2001,,1.524,,1.43,1.373,1.509,,1.519,1.753,
Feb-2001,,1.482,,1.458,1.372,1.562,,1.505,1.749,
Mar-2001,,1.388,,1.415,1.331,1.611,,1.475,1.806,
Apr-2001,,1.694,,1.557,1.512,1.703,,1.559,1.932,
May-2001,,1.983,,1.731,1.607,1.962,,1.76,2.015,
Jun-2001,,1.742,,1.726,1.521,1.934,,1.772,2.013,
Jul-2001,,1.376,,1.511,1.337,1.769,,1.652,1.879,
Aug-2001,,1.601,,1.425,1.281,1.523,,1.545,1.69,
Sep-2001,,1.812,,1.609,1.355,1.575,,1.503,1.827,
Oct-2001,,1.435,,1.43,1.233,1.425,,1.402,1.736,
Nov-2001,,1.226,,1.177,1.056,1.209,,1.262,1.589,
Dec-2001,,1.168,,1.045,0.98,1.02,,1.155,1.361,
Jan-2002,,1.119,,1.086,1.012,1.122,,1.158,1.279,
Feb-2002,,1.12,,1.088,1.031,1.259,,1.158,1.265,
Mar-2002,,1.337,,1.216,1.173,1.443,,1.245,1.466,
Apr-2002,,1.507,,1.358,1.353,1.575,,1.423,1.66,
May-2002,,1.54,,1.364,1.338,1.533,,1.456,1.625,
Jun-2002,,1.529,,1.336,1.305,1.552,,1.441,1.652,
Jul-2002,,1.489,,1.413,1.303,1.558,,1.438,1.675,
Aug-2002,,1.487,,1.446,1.308,1.553,,1.475,1.664,
Sep-2002,,1.495,,1.399,1.319,1.553,,1.484,1.635,
