,January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,49,27,33,37,40,40,29,39,36,30,23,22,24,25,29,34,26,36,26,34,8,18,37,50,35,24,34,29,34,27,13
Chicago,27,23,29,34,38,35,43,36,27,27,29,32,30,31,33,30,29,28,25,13,8,27,28,18,1,6,7,25,2,-17,-8
Cleveland,34,22,25,36,36,33,38,46,29,26,25,30,27,26,30,30,26,32,26,14,10,20,42,25,11,15,20,24,18,-6,-4
Denver,10,27,37,45,42,43,41,40,40,43,31,30,28,31,32,35,38,32,31,40,37,24,27,23,27,29,37,21,22,29,32
Houston,50,49,47,47,53,58,63,64,56,51,54,59,48,47,49,57,62,64,49,41,50,59,41,46,48,52,54,55,40,45,54
Los Angeles,52,54,58,57,56,54,55,59,57,57,57,55,56,53,54,56,56,58,64,63,57,57,58,64,65,67,65,64,64,62,57
Miami,76,77,76,73,71,67,71,74,71,63,68,72,73,71,65,67,69,71,72,71,58,66,72,73,63,64,69,61,62,60,67
New York,50,37,39,40,42,40,35,45,39,34,29,29,30,28,32,34,27,37,33,40,12,22,39,48,33,26,37,28,39,25,12
San Francisco,48,46,48,49,51,53,55,54,54,52,54,52,54,52,52,54,53,54,56,52,52,52,52,54,54,56,57,56,54,55,55
Seattle,37,42,49,43,42,42,42,41,47,50,48,46,43,45,44,44,48,45,49,45,43,44,47,45,46,46,43,45,44,44,46
