,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,64,70,53,60,52,60,72,60,57,54,54,56,61,61,58,58,51,54,53,57,56,55,63,59,59,55,52,54,55,62,65
Chicago,80,70,67,59,58,63,64,67,65,66,59,46,51,49,55,49,51,53,58,60,63,50,52,50,50,48,54,51,44,40,41
Cleveland,79,75,71,57,55,66,60,63,61,62,67,50,54,50,56,50,47,49,54,61,61,56,52,56,54,50,55,58,58,54,58
Denver,60,60,57,67,57,53,61,63,65,25,36,51,57,60,52,62,66,57,51,44,42,49,51,31,45,56,25,20,13,11,31
Houston,86,87,87,85,86,88,82,75,79,84,73,64,72,81,84,74,66,70,80,83,81,70,73,76,66,59,71,73,73,75,50
Los Angeles,73,78,76,76,81,84,83,80,73,78,82,82,75,71,81,84,72,73,76,81,86,88,86,90,87,83,71,72,69,70,73
Miami,82,82,82,82,82,82,80,81,82,83,82,80,81,81,81,83,84,84,84,85,84,83,84,83,83,84,84,83,83,83,83
New York,71,80,60,64,56,65,73,63,57,58,57,62,62,66,63,63,55,55,58,58,59,60,61,64,61,59,65,62,59,63,68
San Francisco,62,65,62,63,72,73,74,69,64,65,67,69,64,65,66,61,62,61,62,63,69,73,73,77,75,69,64,60,63,59,64
Seattle,58,58,58,57,58,59,59,49,50,52,57,55,57,56,55,54,55,52,51,48,51,57,52,56,53,50,49,48,45,45,46
