,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,52,49,48,48,57,48,52,35,36,45,45,47,27,33,44,33,41,41,43,41,42,49,39,46,46,49,49,44,38,34
Chicago,34,39,43,49,40,45,32,30,37,41,30,16,20,30,32,35,35,40,38,41,50,37,35,41,45,43,42,36,38,38
Cleveland,37,40,39,48,44,42,36,34,35,41,39,26,21,29,30,31,35,41,40,40,44,37,39,37,42,46,51,35,36,36
Denver,29,40,45,40,48,43,42,54,59,55,22,44,48,44,53,52,46,53,53,43,27,29,37,44,37,20,16,26,32,28
Houston,53,58,60,68,71,72,73,55,58,66,72,42,42,45,52,55,60,67,69,70,75,74,59,60,67,76,63,66,72,76
Los Angeles,76,76,77,77,79,75,75,82,83,77,75,77,71,70,67,77,83,82,72,59,63,66,69,70,66,64,56,52,54,56
Miami,83,82,82,81,82,81,81,81,76,76,78,81,78,79,77,72,67,69,75,71,74,75,77,80,71,75,78,76,76,75
New York,50,55,48,53,58,51,54,39,39,47,54,43,31,41,45,38,41,42,47,43,46,50,41,48,46,52,53,47,40,40
San Francisco,65,67,68,68,69,63,68,66,66,63,68,67,63,57,59,63,69,66,58,60,56,58,60,61,55,50,50,47,48,48
Seattle,48,50,51,52,50,50,51,52,51,53,51,48,51,51,52,51,55,50,49,46,47,45,44,49,45,39,39,37,38,39
