,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,33,41,31,32,36,33,29,28,46,55,30,28,37,53,43,34,34,32,19,24,29,35,40,37,36,38,42,42,38,37,44
Chicago,38,32,35,37,39,38,36,41,47,23,24,35,39,35,25,31,30,20,28,34,37,41,43,42,46,53,44,42,57,34,28
Cleveland,46,36,33,33,33,39,34,41,48,32,25,28,36,38,29,32,31,22,18,28,34,38,43,37,43,50,50,41,50,47,31
Denver,29,39,43,40,35,36,41,39,28,35,38,39,37,33,25,26,27,38,36,37,43,44,45,43,40,35,33,23,21,23,27
Houston,63,57,60,64,66,69,64,65,71,54,50,53,64,64,70,72,46,51,51,52,54,54,59,64,63,66,67,69,66,56,55
Los Angeles,61,64,66,60,63,67,65,63,64,64,65,66,69,62,63,63,59,59,63,66,66,63,56,57,55,48,58,59,57,58,64
Miami,77,78,65,71,68,73,74,76,77,79,79,78,78,78,73,78,79,77,71,73,74,75,74,69,73,78,77,78,77,77,75
New York,41,41,36,38,39,42,36,40,53,55,35,34,48,54,43,36,42,35,23,30,32,38,44,42,40,42,49,46,44,49,44
San Francisco,55,58,58,54,56,58,59,58,59,55,58,60,56,53,51,51,51,53,56,56,56,53,51,49,50,51,51,52,53,54,54
Seattle,37,43,45,46,47,48,48,48,45,42,45,45,44,43,40,38,42,43,44,49,44,42,43,39,39,38,40,42,44,46,48
