,February,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,15,25,34,45,50,35,35,50,26,29,31,26,41,36,46,37,31,31,26,27,40,36,35,43,36,24,22,26
Chicago,13,34,42,48,29,35,48,15,17,27,31,35,22,40,22,25,26,26,24,31,30,31,37,33,22,22,22,22
Cleveland,12,31,45,50,34,39,45,28,20,27,31,40,27,37,32,24,28,26,24,34,35,34,40,41,29,21,22,27
Denver,38,42,45,41,39,30,12,26,34,31,28,35,44,44,42,31,25,15,17,23,26,24,27,28,34,41,30,37
Houston,60,61,64,67,67,74,71,49,40,57,65,59,54,66,69,64,67,55,52,55,54,61,66,56,57,61,64,55
Los Angeles,58,55,54,53,53,55,59,62,51,51,53,56,53,58,55,54,50,51,52,50,49,51,53,57,56,60,62,65
Miami,69,70,70,71,72,74,74,75,74,75,75,77,72,73,74,73,76,76,76,78,78,78,78,78,76,76,78,74
New York,18,25,40,42,49,39,42,54,28,29,35,31,37,39,50,38,31,41,31,31,44,38,39,51,40,36,30,31
San Francisco,53,54,53,48,47,48,48,48,50,49,50,50,55,53,50,49,48,49,48,50,50,49,51,51,52,54,55,58
Seattle,48,44,40,29,28,30,33,34,33,29,33,37,35,37,39,37,37,36,39,38,38,39,41,38,36,36,40,41
