,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,32,32,31,34,22,19,19,25,32,33,39,36,38,45,53,45,37,38,38,44,46,40,43,49,44,39,40,45,49,59,48
Chicago,25,19,18,7,15,20,24,33,36,37,34,42,46,58,38,37,38,37,41,40,40,38,46,44,36,40,44,53,42,38,37
Cleveland,29,27,20,18,14,17,23,29,36,42,34,34,41,54,42,33,34,33,37,43,42,34,33,44,35,34,43,48,39,41,29
Denver,41,26,13,16,25,33,40,43,37,32,36,36,30,28,37,41,43,44,37,48,49,49,50,47,51,58,61,60,50,35,41
Houston,55,63,58,43,40,46,63,71,69,67,67,67,67,72,58,56,61,61,64,67,69,72,70,73,75,69,67,70,72,74,55
Los Angeles,64,59,58,61,67,56,60,56,56,56,62,66,66,69,69,77,79,78,72,63,59,62,63,68,73,71,68,66,70,77,82
Miami,75,74,75,80,77,68,69,73,76,78,77,76,76,76,77,78,79,75,71,74,73,70,72,75,76,78,75,74,74,76,77
New York,36,37,32,35,28,24,27,35,42,46,44,38,43,49,58,46,40,40,43,45,46,45,41,47,47,42,41,47,53,59,48
San Francisco,55,54,55,55,52,55,51,51,49,53,55,55,55,55,58,62,62,65,62,56,58,55,56,59,57,59,56,57,58,60,63
Seattle,42,41,42,40,40,38,37,41,41,46,44,44,45,49,53,55,56,61,63,66,58,56,55,56,53,53,55,58,57,60,54
