,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,41,45,51,45,43,56,58,51,43,46,47,47,64,63,63,53,55,49,65,67,61,58,54,62,57,50,53,51,55,49
Chicago,40,46,47,43,47,55,57,59,56,39,47,47,44,34,40,52,58,52,42,48,59,62,51,48,57,54,40,43,46,46
Cleveland,32,41,43,41,48,56,58,59,53,44,48,63,53,49,40,45,58,64,46,51,48,61,60,49,54,48,43,45,46,49
Denver,47,47,51,57,59,58,60,62,66,53,27,32,38,52,60,58,50,51,59,67,61,45,55,60,53,64,57,65,41,46
Houston,56,60,64,75,76,77,74,69,81,80,78,72,78,62,71,74,74,78,68,73,75,75,76,75,76,78,78,77,79,81
Los Angeles,79,69,63,62,62,67,76,83,78,74,72,72,75,71,66,62,72,81,79,63,65,74,80,77,78,74,69,70,64,63
Miami,79,80,75,77,79,80,80,80,81,81,80,81,81,83,84,79,78,81,82,77,76,76,77,76,80,84,79,81,80,80
New York,42,45,52,51,42,56,58,63,56,54,47,60,65,61,58,54,53,59,64,63,63,59,67,62,58,61,53,50,53,62
San Francisco,65,58,59,58,57,60,65,65,60,61,59,62,65,59,54,59,65,72,68,58,63,69,74,74,70,70,67,65,63,61
Seattle,60,62,56,60,54,49,56,54,57,48,49,52,47,49,53,54,56,58,55,56,60,53,58,56,56,60,49,55,57,60
