,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,51,49,55,57,51,55,66,62,55,57,63,46,51,46,55,61,59,65,70,78,64,64,66,67,70,79,73,56,60,65,71
Chicago,55,49,47,52,60,61,47,54,62,51,46,44,49,59,61,65,49,67,67,49,45,65,66,60,69,59,63,60,58,67,70
Cleveland,69,62,56,50,54,63,51,56,67,52,51,50,45,51,60,64,59,68,75,55,51,66,69,63,75,67,65,70,63,64,68
Denver,49,50,56,59,63,55,54,43,34,46,55,59,67,70,71,71,64,54,51,48,33,44,47,58,62,67,67,54,50,59,66
Houston,82,81,79,82,79,80,83,83,84,75,77,77,77,79,80,81,82,84,87,85,85,86,85,85,85,85,85,86,85,88,87
Los Angeles,69,72,73,72,69,66,65,67,68,66,73,75,74,76,70,65,70,70,62,68,65,68,60,72,68,57,64,70,76,76,73
Miami,79,82,83,83,83,84,84,83,83,83,84,84,87,86,83,81,80,82,83,83,83,83,82,80,81,82,82,82,83,84,84
New York,53,66,56,63,54,62,65,63,55,67,63,50,49,51,58,65,69,69,71,78,63,70,69,68,65,77,76,71,73,71,75
San Francisco,66,65,66,64,58,59,63,65,63,68,65,64,62,60,59,55,58,54,57,60,57,63,66,64,61,56,58,64,67,61,68
Seattle,58,54,60,64,65,68,68,68,75,78,79,68,64,53,63,64,59,68,66,60,60,69,74,55,53,63,74,70,69,72,78
