,June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,74,71,67,66,77,73,74,71,76,75,71,74,61,68,74,67,69,65,70,69,64,74,78,73,70,71,74,82,77,74
Chicago,68,58,61,68,72,61,65,64,66,62,67,63,55,67,65,65,60,69,66,59,66,70,71,72,75,80,82,80,79,81
Cleveland,71,60,54,66,69,63,68,71,74,67,64,68,63,64,64,65,69,73,73,67,66,68,74,75,72,76,81,83,78,73
Denver,65,71,71,71,69,73,76,75,49,66,67,62,74,71,65,69,68,63,70,74,59,56,56,68,71,76,79,81,81,79
Houston,89,89,89,88,82,87,89,88,95,88,84,85,84,86,87,88,87,90,89,89,90,88,87,90,85,83,89,91,88,84
Los Angeles,70,71,74,76,78,78,75,80,85,89,92,86,80,71,74,74,72,73,73,71,69,74,77,75,71,74,76,80,83,85
Miami,86,86,86,86,85,85,86,87,87,87,87,87,88,84,85,84,81,84,86,85,86,87,86,86,88,87,86,85,85,85
New York,75,76,67,68,75,77,75,73,69,66,72,69,68,66,73,74,73,72,72,77,71,74,77,77,76,81,85,82,84,79
San Francisco,70,66,68,74,75,65,65,73,77,83,80,77,72,67,61,65,70,72,70,66,70,75,77,70,69,64,64,66,67,68
Seattle,75,72,67,68,59,58,55,62,66,72,75,85,78,69,73,76,73,67,60,63,67,64,59,67,73,70,65,67,73,75
