,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,75,80,81,80,84,84,71,72,83,84,80,81,83,83,80,83,82,69,83,91,91,76,66,73,74,78,79,84,85,87,84,]
Chicago,85,82,82,83,84,75,71,77,79,84,74,81,82,81,82,78,83,83,85,88,78,73,74,76,77,76,78,81,76,73,72,]
Cleveland,78,80,82,82,84,82,78,75,79,83,81,72,78,74,81,76,75,83,85,84,81,71,71,70,74,79,79,79,81,76,76,]
Denver,72,75,78,78,74,70,75,75,78,73,82,82,81,77,82,82,85,86,86,81,75,74,76,79,70,80,79,77,79,79,80,]
Houston,86,88,87,88,89,91,91,90,90,91,92,92,88,87,89,89,89,88,88,88,89,87,83,80,82,84,86,89,88,86,89,]
Los Angeles,84,82,77,77,76,79,75,73,76,81,86,86,87,87,89,89,80,79,77,77,83,83,87,90,83,87,90,87,84,84,83,]
Miami,87,87,88,85,86,85,85,85,86,85,85,86,85,85,85,85,86,85,86,86,86,86,85,87,87,86,87,87,87,87,86,]
New York,80,81,81,80,79,85,77,71,84,84,79,82,83,84,80,83,86,80,87,89,90,80,73,77,79,81,80,84,84,85,83,]
San Francisco,65,65,66,68,70,68,63,62,65,67,69,70,72,69,71,68,70,68,69,68,70,73,70,75,73,72,76,75,65,64,70,]
Seattle,79,63,70,73,71,68,66,73,73,65,74,76,75,76,68,74,62,65,70,72,83,79,75,72,76,84,73,74,80,70,80,]
