,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,80,79,82,76,75,77,80,82,79,74,75,79,77,68,72,75,76,82,85,82,83,84,77,69,64,66,71,73,76,79,76
Chicago,76,77,81,82,82,78,81,79,78,77,78,81,77,78,74,72,77,80,79,83,81,75,71,70,70,68,76,70,74,73,66
Cleveland,76,78,76,77,78,77,76,75,73,72,74,75,76,78,76,76,77,81,78,82,78,70,68,68,68,69,70,71,70,71,70
Denver,73,77,80,78,77,81,79,74,78,75,73,76,78,77,81,80,75,80,82,81,76,77,75,76,81,68,67,76,79,76,78
Houston,89,89,88,88,90,90,90,90,91,90,90,91,92,91,91,91,90,90,89,90,89,89,90,88,90,88,90,91,90,89,88
Los Angeles,85,89,88,88,89,85,81,82,82,82,81,83,86,90,89,86,76,76,81,85,88,85,76,85,86,86,84,83,84,87,88
Miami,86,86,87,86,84,86,84,86,87,87,88,87,87,87,87,87,87,86,86,86,86,85,85,86,87,88,88,88,87,85,86
New York,82,80,81,84,77,79,83,82,80,77,77,80,76,78,75,75,81,83,82,81,84,84,73,73,70,67,69,73,77,78,77
San Francisco,67,69,73,70,68,69,64,64,68,70,71,74,76,81,81,78,68,65,66,66,70,71,74,71,75,78,76,74,68,70,75
Seattle,79,74,74,79,85,83,82,68,74,72,67,76,77,80,78,69,70,70,71,76,63,71,72,71,68,70,75,81,73,72,75
