,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,68,70,71,78,67,67,63,70,65,69,76,60,63,67,74,42,63,59,59,70,76,77,80,73,67,73,69,71,67,58
Chicago,69,76,76,69,73,69,73,62,71,79,82,80,75,73,74,44,75,76,77,79,76,74,69,70,72,68,69,66,66,77
Cleveland,71,71,75,69,66,66,66,67,67,76,79,74,77,68,73,43,71,70,69,74,78,78,71,67,70,67,68,75,66,73
Denver,84,86,75,78,82,75,76,69,72,71,73,65,67,74,76,52,75,70,72,76,66,63,68,71,67,71,65,64,75,72
Houston,88,88,88,89,92,92,92,89,89,88,89,88,88,89,87,46,83,80,87,85,86,85,86,85,84,86,84,86,86,86
Los Angeles,88,86,89,92,89,89,86,78,79,74,77,86,92,93,87,58,80,79,75,77,84,85,80,84,82,74,71,70,70,70
Miami,87,85,85,87,88,87,86,86,85,85,84,85,84,84,85,47,86,84,81,82,82,80,80,81,81,82,82,83,82,83
New York,72,76,77,79,71,68,71,73,71,73,78,77,66,71,79,42,72,66,67,68,75,78,79,71,75,73,72,74,73,66
San Francisco,78,75,72,72,67,68,64,67,67,65,73,79,82,76,65,49,66,66,67,72,75,72,70,79,80,74,64,62,60,60
Seattle,75,74,77,72,73,77,75,65,63,68,68,73,68,66,60,51,56,63,65,66,64,61,59,63,65,63,55,53,52,55
