RANK ,CITY
1,New York
2,Los Angeles
3,Chicago
4,Houston
5,Phoenix
6,Philadelphia
7,San Antonio
8,San Diego
9,Dallas
10,San Jose
11,Austin
12,Jacksonville
13,Fort Worth
14,Columbus
15,Charlotte
16,San Francisco
17,Indianapolis
18,Seattle
19,Denver
20,Washington
21,Boston
22,El Paso
23,Nashville
24,Detroit
25,Oklahoma City
26,Portland
27,Las Vegas
28,Memphis
29,Louisville
30,Baltimore
31,Milwaukee
32,Albuquerque
33,Tucson
34,Fresno
35,Mesa
36,Sacramento
37,Atlanta
38,Kansas City
39,Colorado Springs
40,Omaha
41,Raleigh
42,Miami
43,Long Beach
44,Virginia Beach
45,Oakland
46,Minneapolis
47,Tulsa
48,Tampa
49,Arlington
50,New Orleans
