,January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,February,,,,,,,,,,,,,,,,,,,,,,,,,,,,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,50,37,39,40,42,40,35,45,39,34,29,29,30,28,32,34,27,37,33,40,12,22,39,48,33,26,37,28,39,25,12,18,25,40,42,49,39,42,54,28,29,35,31,37,39,50,38,31,41,31,31,44,38,39,51,40,36,30,31,36,37,32,35,28,24,27,35,42,46,44,38,43,49,58,46,40,40,43,45,46,45,41,47,47,42,41,47,53,59,48
Los Angeles,52,54,58,57,56,54,55,59,57,57,57,55,56,53,54,56,56,58,64,63,57,57,58,64,65,67,65,64,64,62,57,58,55,54,53,53,55,59,62,51,51,53,56,53,58,55,54,50,51,52,50,49,51,53,57,56,60,62,65,64,59,58,61,67,56,60,56,56,56,62,66,66,69,69,77,79,78,72,63,59,62,63,68,73,71,68,66,70,77,82
Chicago,27,23,29,34,38,35,43,36,27,27,29,32,30,31,33,30,29,28,25,13,8,27,28,18,1,6,7,25,2,-17,-8,13,34,42,48,29,35,48,15,17,27,31,35,22,40,22,25,26,26,24,31,30,31,37,33,22,22,22,22,25,19,18,7,15,20,24,33,36,37,34,42,46,58,38,37,38,37,41,40,40,38,46,44,36,40,44,53,42,38,37
Houston,50,49,47,47,53,58,63,64,56,51,54,59,48,47,49,57,62,64,49,41,50,59,41,46,48,52,54,55,40,45,54,60,61,64,67,67,74,71,49,40,57,65,59,54,66,69,64,67,55,52,55,54,61,66,56,57,61,64,55,55,63,58,43,40,46,63,71,69,67,67,67,67,72,58,56,61,61,64,67,69,72,70,73,75,69,67,70,72,74,55
Phoenix,44,38,41,47,50,50,50,53,56,56,53,53,54,56,55,54,55,57,55,55,56,50,49,51,54,55,56,56,56,60,61,61,60,58,55,56,50,53,50,51,50,50,51,56,55,60,53,50,47,46,45,47,44,45,45,52,55,58,61,62,64,62,65,72,75,69,61,60,64,63,57,59,59,64,66,68,73,73,75,64,63,69,72,77,77,77,78,74,76,75
Philadelphia,54,38,38,40,44,41,32,46,38,36,30,29,30,28,31,34,27,37,33,40,16,20,39,49,32,26,36,31,39,22,15,19,27,39,41,49,42,47,58,29,29,35,34,37,39,51,38,33,43,31,31,46,39,39,53,44,36,32,33,38,37,34,35,28,24,29,37,44,51,48,40,46,54,62,47,42,41,43,47,51,47,43,50,49,43,47,49,60,64,50
San Antonio,48,41,46,49,55,60,63,63,57,55,57,58,49,47,49,57,61,65,54,46,51,61,47,52,49,53,53,56,45,46,52,59,63,65,67,69,74,68,46,42,49,61,57,53,64,70,63,68,56,47,54,54,57,66,56,57,63,66,59,61,58,58,39,40,45,60,70,76,71,71,73,75,69,53,51,57,59,60,60,67,68,67,69,74,67,67,70,72,73,53
San Diego,53,53,55,55,55,55,56,61,57,56,57,55,55,55,56,58,58,57,61,63,57,56,59,63,66,66,63,62,62,61,55,57,57,56,58,55,52,57,57,53,54,53,56,56,58,55,55,52,51,50,50,49,49,52,54,54,58,60,63,61,56,56,58,65,60,59,55,54,53,56,59,58,64,66,70,69,69,66,60,57,58,61,63,66,65,63,63,64,69,76
Dallas,37,32,38,44,47,55,61,55,49,46,45,48,44,42,45,52,55,57,36,36,43,54,38,43,37,44,49,49,37,41,44,55,58,61,65,67,68,65,38,39,41,55,50,51,62,63,42,50,43,36,44,46,48,56,46,52,52,56,46,52,45,44,33,35,43,56,69,72,58,56,60,68,61,51,52,58,60,61,60,65,64,62,70,65,61,63,64,66,61,51
San Jose,45,48,49,49,51,50,54,55,54,53,55,55,53,52,52,55,55,54,59,57,53,51,53,55,55,55,58,58,57,58,55,54,54,53,46,46,48,48,45,48,46,46,49,57,54,49,48,45,47,46,48,48,46,49,51,51,55,58,59,57,54,55,56,51,53,50,48,44,51,54,53,53,57,61,67,67,68,63,54,58,54,57,60,56,59,55,57,59,62,67
