,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,42,45,53,50,43,56,56,61,53,53,48,56,64,59,59,55,55,56,62,61,61,60,66,61,58,60,53,49,53,62,,53,65,55,62,54,61,62,64,55,65,65,50,49,51,59,66,69,69,68,79,64,70,67,68,64,79,76,68,71,69,76,,75,76,67,68,75,77,75,73,69,66,72,69,68,66,73,74,73,72,72,77,71,74,77,77,76,81,85,82,84,79
Los Angeles,79,69,63,62,62,67,76,83,78,74,72,72,75,71,66,62,72,81,79,63,65,74,80,77,78,74,69,70,64,63,,69,72,73,72,69,66,65,67,68,66,73,75,74,76,70,65,70,70,62,68,65,68,60,72,68,57,64,70,76,76,73,,70,71,74,76,78,78,75,80,85,89,92,86,80,71,74,74,72,73,73,71,69,74,77,75,71,74,76,80,83,85
Chicago,40,46,47,43,47,55,57,59,56,39,47,47,44,34,40,52,58,52,42,48,59,62,51,48,57,54,40,43,46,46,,55,49,47,52,60,61,47,54,62,51,46,44,49,59,61,65,49,67,67,49,45,65,66,60,69,59,63,60,58,67,70,,68,58,61,68,72,61,65,64,66,62,67,63,55,67,65,65,60,69,66,59,66,70,71,72,75,80,82,80,79,81
Houston,56,60,64,75,76,77,74,69,81,80,78,72,78,62,71,74,74,78,68,73,75,75,76,75,76,78,78,77,79,81,,82,81,79,82,79,80,83,83,84,75,77,77,77,79,80,81,82,84,87,85,85,86,85,85,85,85,85,86,85,88,87,,89,89,89,88,82,87,89,88,95,88,84,85,84,86,87,88,87,90,89,89,90,88,87,90,85,83,89,91,88,84
Phoenix,71,76,68,74,68,71,78,85,87,69,69,66,70,75,79,70,67,81,87,83,79,77,78,82,88,93,87,83,75,71,,78,81,85,87,85,79,71,77,81,75,75,76,80,86,89,84,70,77,78,65,72,66,69,79,82,75,68,76,80,88,89,,88,85,88,87,90,93,90,92,96,98,96,99,102,92,92,92,94,90,91,91,89,87,87,92,92,91,94,97,99,101
Philadelphia,43,47,54,56,47,59,65,71,70,58,53,65,72,66,60,57,56,70,68,68,66,61,72,65,61,66,57,58,58,68,,59,74,65,70,57,67,72,66,65,70,65,53,51,55,61,68,74,73,78,83,66,74,74,74,72,82,80,76,86,80,80,,84,82,70,71,78,82,80,78,76,73,74,73,74,69,76,78,81,81,82,84,74,78,81,82,84,87,90,89,86,84
San Antonio,53,57,63,75,75,74,74,74,78,80,77,70,77,61,69,73,75,73,69,70,75,75,73,74,73,74,76,77,77,77,,78,83,76,78,78,77,80,82,81,62,70,71,73,77,78,78,81,79,85,83,85,85,86,84,85,82,83,85,85,84,84,,83,83,85,84,84,88,89,88,90,80,79,81,82,85,88,87,88,89,92,93,91,89,89,89,87,84,87,86,86,78
San Diego,72,64,61,59,59,62,69,77,67,66,67,63,70,68,63,56,66,73,70,61,59,64,70,71,73,67,65,67,59,59,,62,65,67,67,64,64,62,60,62,63,67,68,68,70,66,60,61,64,58,60,58,58,60,64,64,57,57,63,69,68,65,,63,65,66,67,72,71,70,73,74,81,82,77,74,68,68,68,67,68,71,68,66,68,71,70,67,69,72,75,77,80
Dallas,52,57,57,75,69,70,72,74,76,76,74,61,58,57,65,66,73,68,61,68,70,70,72,69,72,69,73,73,70,77,,77,76,70,73,73,76,76,75,70,57,59,68,74,75,78,78,73,78,80,78,79,77,81,79,81,79,79,79,83,77,82,,84,82,84,84,81,84,78,83,85,76,76,79,79,79,82,84,82,84,87,85,86,85,84,80,83,82,85,87,86,82
San Jose,67,57,60,58,56,62,71,71,60,62,60,64,71,66,58,60,72,81,77,58,66,74,80,85,82,81,75,73,68,64,,70,72,75,73,65,64,70,75,70,75,75,76,74,69,59,55,60,54,55,63,56,64,69,71,66,54,60,70,75,73,77,,80,77,82,88,89,75,70,78,88,95,96,91,86,81,77,78,84,88,86,72,78,84,90,85,81,73,69,73,76,80
Austin,51,57,59,75,72,73,71,73,76,75,74,65,74,59,66,70,74,71,66,66,72,72,72,71,72,70,73,72,75,77,,76,78,73,75,73,74,77,78,79,56,65,67,71,74,75,76,79,79,82,82,81,81,81,81,81,80,79,80,82,79,80,,82,82,82,83,83,84,82,83,86,77,75,78,78,83,85,86,84,85,89,89,89,86,85,87,85,80,84,85,84,79
Jacksonville,60,64,64,68,72,75,77,77,75,74,75,77,78,81,68,70,74,76,76,66,70,71,75,78,77,79,73,77,76,78,,78,78,81,82,83,82,80,79,79,80,82,85,81,78,77,78,81,82,81,83,84,83,82,82,86,87,90,89,89,87,88,,89,87,89,86,86,86,82,82,86,84,85,85,86,80,82,83,84,85,83,89,89,89,88,90,90,87,85,85,82,85
Fort Worth,51,56,56,75,69,72,71,72,76,76,71,60,59,56,65,65,75,67,60,67,70,69,71,66,70,68,72,69,69,74,,77,77,70,72,71,74,72,74,69,54,58,66,71,73,76,76,74,78,78,77,77,75,79,79,80,79,77,78,82,76,79,,82,80,83,80,80,82,75,82,83,74,74,77,78,78,81,82,79,82,86,84,85,83,83,79,81,80,82,84,84,80
Columbus,40,44,51,52,56,60,60,64,61,56,62,65,61,64,45,58,66,70,55,52,51,61,65,59,58,54,53,51,58,57,,73,73,66,56,61,65,70,66,68,60,59,55,51,58,62,67,75,77,73,65,56,69,74,73,79,78,72,78,77,69,73,,73,69,62,69,69,74,69,73,69,69,68,68,64,64,69,74,72,71,75,73,68,69,72,73,73,77,80,79,80,80
Charlotte,45,42,60,65,60,67,66,69,72,68,69,71,72,71,58,60,69,72,70,52,57,65,74,78,72,69,67,72,67,78,,78,78,78,78,73,73,74,75,74,75,72,70,72,64,68,73,81,85,82,82,81,76,79,87,88,89,88,90,89,89,86,,79,85,80,76,82,75,76,76,75,79,75,62,76,71,75,81,85,82,79,85,81,79,78,86,84,82,85,85,86,87
San Francisco,65,58,59,58,57,60,65,65,60,61,59,62,65,59,54,59,65,72,68,58,63,69,74,74,70,70,67,65,63,61,,66,65,66,64,58,59,63,65,63,68,65,64,62,60,59,55,58,54,57,60,57,63,66,64,61,56,58,64,67,61,68,,70,66,68,74,75,65,65,73,77,83,80,77,72,67,61,65,70,72,70,66,70,75,77,70,69,64,64,66,67,68
Indianapolis,38,46,52,55,56,62,61,65,60,51,64,55,54,45,45,61,65,63,45,42,59,63,64,57,62,57,52,50,58,55,,69,69,60,54,62,68,70,66,68,55,55,49,50,61,59,69,75,78,70,58,55,66,76,76,79,77,75,78,76,74,73,,75,68,69,73,74,77,73,70,73,66,75,71,58,66,67,76,73,76,77,69,73,72,74,70,75,79,82,82,82,83
Seattle,60,62,56,60,54,49,56,54,57,48,49,52,47,49,53,54,56,58,55,56,60,53,58,56,56,60,49,55,57,60,,58,54,60,64,65,68,68,68,75,78,79,68,64,53,63,64,59,68,66,60,60,69,74,55,53,63,74,70,69,72,78,,75,72,67,68,59,58,55,62,66,72,75,85,78,69,73,76,73,67,60,63,67,64,59,67,73,70,65,67,73,75
Denver,47,47,51,57,59,58,60,62,66,53,27,32,38,52,60,58,50,51,59,67,61,45,55,60,53,64,57,65,41,46,,49,50,56,59,63,55,54,43,34,46,55,59,67,70,71,71,64,54,51,48,33,44,47,58,62,67,67,54,50,59,66,,65,71,71,71,69,73,76,75,49,66,67,62,74,71,65,69,68,63,70,74,59,56,56,68,71,76,79,81,81,79
Washington,43,47,57,63,53,63,66,71,72,65,61,64,75,70,57,60,67,72,70,69,62,64,76,69,71,64,62,67,59,72,,72,81,79,77,65,70,76,67,73,74,63,62,55,56,66,72,77,80,84,85,66,73,82,78,80,87,79,83,90,85,82,,84,82,72,75,77,83,78,78,71,78,73,75,75,70,77,75,84,79,83,84,76,77,84,84,83,88,91,89,87,86
Boston,41,45,51,45,43,56,58,51,43,46,47,47,64,63,63,53,55,49,65,67,61,58,54,62,57,50,53,51,55,49,,51,49,55,57,51,55,66,62,55,57,63,46,51,46,55,61,59,65,70,78,64,64,66,67,70,79,73,56,60,65,71,,74,71,67,66,77,73,74,71,76,75,71,74,61,68,74,67,69,65,70,69,64,74,78,73,70,71,74,82,77,74
El Paso,53,66,66,65,68,63,67,75,78,70,57,58,57,62,72,70,62,66,70,78,74,72,67,66,75,79,80,79,77,71,,72,76,75,77,78,77,71,68,69,63,65,69,66,76,79,82,74,70,72,73,63,74,74,76,79,82,76,71,73,78,79,,83,83,83,81,80,83,86,87,88,68,73,83,85,86,84,83,84,85,85,85,84,80,81,85,87,88,88,86,86,86
Nashville,44,53,61,62,65,66,68,69,70,70,74,61,65,64,55,65,69,68,49,44,65,68,70,71,69,64,64,63,72,75,,76,75,71,66,64,74,78,77,70,69,69,62,59,66,66,76,80,80,72,75,79,81,82,84,84,84,84,83,84,74,76,,80,80,74,79,79,73,75,79,80,76,70,73,63,71,76,83,81,75,80,77,81,84,82,76,80,83,83,83,83,87
Detroit,34,42,45,38,45,54,55,59,55,44,39,58,50,38,44,44,48,61,43,42,56,59,60,53,49,52,45,46,41,46,,62,59,50,54,61,65,45,52,64,51,51,49,47,57,63,65,61,60,71,54,53,58,72,64,74,71,64,71,62,62,68,,74,63,58,69,74,66,70,70,69,65,68,68,60,65,63,60,64,71,74,61,69,68,71,75,75,79,80,82,81,74
