,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,81,81,83,83,81,84,79,74,87,84,79,84,84,86,83,84,85,80,85,90,92,83,74,78,80,83,81,84,84,85,83,,83,82,82,85,79,79,82,83,81,79,78,81,77,79,77,77,82,83,83,83,84,86,74,74,71,70,71,75,79,79,78,,72,76,77,79,71,68,71,73,71,73,78,77,66,71,79,42,72,66,67,68,75,78,79,71,75,73,72,74,73,66
Los Angeles,84,82,77,77,76,79,75,73,76,81,86,86,87,87,89,89,80,79,77,77,83,83,87,90,83,87,90,87,84,84,83,,85,89,88,88,89,85,81,82,82,82,81,83,86,90,89,86,76,76,81,85,88,85,76,85,86,86,84,83,84,87,88,,86,86,87,88,86,86,85,77,79,73,75,83,89,92,85,57,79,78,75,78,82,85,80,82,83,74,70,69,70,71
Chicago,85,82,82,83,84,75,71,77,79,84,74,81,82,81,82,78,83,83,85,88,78,73,74,76,77,76,78,81,76,73,72,,76,77,81,82,82,78,81,79,78,77,78,81,77,78,74,72,77,80,79,83,81,75,71,70,70,68,76,70,74,73,66,,69,76,76,69,73,69,73,62,71,79,82,80,75,73,74,44,75,76,77,79,76,74,69,70,72,68,69,66,66,77
Houston,86,88,87,88,89,91,91,90,90,91,92,92,88,87,89,89,89,88,88,88,89,87,83,80,82,84,86,89,88,86,89,,89,89,88,88,90,90,90,90,91,90,90,91,92,91,91,91,90,90,89,90,89,89,90,88,90,88,90,91,90,89,88,,88,88,88,89,92,92,92,89,89,88,89,88,88,89,87,46,83,80,87,85,86,85,86,85,84,86,84,86,86,86
Phoenix,101,96,95,93,96,96,94,91,92,98,97,100,97,99,103,104,98,95,97,96,98,95,96,90,95,93,99,98,96,97,89,,92,96,97,95,99,96,96,95,89,93,87,96,100,103,101,102,96,95,101,102,105,96,93,90,91,95,100,98,94,98,96,,97,95,98,99,98,95,99,90,89,88,87,91,94,92,87,56,88,94,92,88,87,87,86,80,82,81,79,83,82,83
Philadelphia,83,85,90,86,88,88,84,71,87,85,84,86,86,87,87,87,89,89,91,94,95,90,73,81,83,86,85,86,88,89,87,,86,84,86,87,83,84,85,84,84,80,81,82,79,84,80,81,86,89,88,87,86,87,73,75,74,71,72,79,79,81,82,,77,81,83,83,76,69,74,77,77,78,81,84,70,73,82,45,75,68,70,70,77,80,82,74,76,76,77,77,78,70
San Antonio,85,85,85,87,88,87,88,88,90,90,90,88,87,88,89,89,88,89,88,89,89,87,84,83,81,82,85,89,89,89,89,,89,89,84,83,89,90,91,92,92,92,90,92,93,92,92,91,91,92,91,90,88,88,88,88,88,90,91,88,88,88,87,,86,88,89,88,87,88,88,88,87,86,85,85,85,85,86,47,84,87,88,86,85,84,85,85,84,85,84,85,86,86
San Diego,80,75,71,72,72,72,70,70,73,76,81,79,81,82,85,83,76,76,73,73,77,82,82,83,82,83,84,84,78,78,79,,79,83,83,84,83,79,75,77,77,78,76,78,82,86,85,82,73,73,76,79,83,80,73,80,84,82,79,78,79,81,83,,81,84,86,86,85,84,82,73,73,70,71,79,86,88,85,57,77,75,70,74,78,82,77,79,77,72,70,69,67,69
Dallas,82,83,82,82,85,86,88,88,88,90,89,84,85,81,85,89,88,87,88,88,88,89,82,80,80,81,84,87,84,90,88,,90,87,82,83,86,89,90,90,91,91,92,93,93,87,90,90,90,91,91,93,91,89,89,86,87,91,82,86,87,88,85,,85,88,88,89,91,93,92,90,88,87,86,85,87,88,89,48,86,84,78,84,83,83,86,84,85,85,84,84,84,81
San Jose,77,77,77,81,85,83,76,75,77,77,81,85,87,88,83,81,81,81,79,81,85,89,86,92,91,90,94,94,81,77,83,,79,80,89,86,83,85,79,73,76,77,80,88,91,97,98,95,79,75,79,74,81,84,86,86,91,91,91,87,78,80,88,,88,87,83,86,80,81,68,71,71,69,80,89,91,90,73,52,72,72,71,78,80,83,78,85,88,82,74,62,62,61
Austin,83,84,83,85,86,87,88,88,89,89,87,88,86,85,88,88,87,86,87,87,88,90,84,81,80,83,85,87,88,88,90,,90,90,79,84,88,89,90,91,92,92,92,93,93,92,89,92,91,91,91,90,89,89,87,88,88,89,90,87,86,86,86,,85,87,87,89,88,90,89,88,87,85,85,85,84,87,87,47,83,83,87,83,84,83,84,84,83,84,83,85,84,85
