,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,December,,,,,,,,October,,,,,,,,,,,,,,,,,,,,,,,
New York,71,80,60,64,56,65,73,63,57,58,57,62,62,66,63,63,55,55,58,58,59,60,61,64,61,59,65,62,59,63,68,,50,55,48,53,58,51,54,39,39,47,54,43,31,41,45,38,41,42,47,43,46,50,41,48,46,52,53,47,40,40,,41,41,36,38,39,42,36,40,53,55,35,34,48,54,43,36,42,35,23,30,32,38,44,42,40,42,49,46,44,49,44
Los Angeles,73,78,76,76,81,84,83,80,73,78,82,82,75,71,81,84,72,73,76,81,86,88,86,90,87,83,71,72,69,70,73,,76,76,77,77,79,75,75,82,83,77,75,77,71,70,67,77,83,82,72,59,63,66,69,70,66,64,56,52,54,56,,61,64,66,60,63,67,65,63,64,64,65,66,69,62,63,63,59,59,63,66,66,63,56,57,55,48,58,59,57,58,64
Chicago,80,70,67,59,58,63,64,67,65,66,59,46,51,49,55,49,51,53,58,60,63,50,52,50,50,48,54,51,44,40,41,,34,39,43,49,40,45,32,30,37,41,30,16,20,30,32,35,35,40,38,41,50,37,35,41,45,43,42,36,38,38,,38,32,35,37,39,38,36,41,47,23,24,35,39,35,25,31,30,20,28,34,37,41,43,42,46,53,44,42,57,34,28
Houston,86,87,87,85,86,88,82,75,79,84,73,64,72,81,84,74,66,70,80,83,81,70,73,76,66,59,71,73,73,75,50,,53,58,60,68,71,72,73,55,58,66,72,42,42,45,52,55,60,67,69,70,75,74,59,60,67,76,63,66,72,76,,63,57,60,64,66,69,64,65,71,54,50,53,64,64,70,72,46,51,51,52,54,54,59,64,63,66,67,69,66,56,55
Phoenix,82,82,86,87,88,89,88,88,85,81,75,78,83,82,83,85,84,76,79,78,77,81,82,75,70,74,76,66,66,58,62,,70,72,73,77,77,75,78,77,75,78,78,69,71,72,71,73,76,74,72,64,59,59,63,66,65,58,60,62,52,53,,58,59,63,65,63,65,65,64,62,62,63,61,66,66,58,53,51,52,55,58,57,59,60,57,55,55,45,49,47,48,52
Philadelphia,73,84,64,67,58,67,75,62,58,60,61,65,64,67,68,63,55,56,60,56,60,63,62,64,62,62,66,64,63,64,70,,49,54,48,52,57,53,55,40,39,48,54,43,32,40,44,39,38,42,48,45,47,50,43,45,47,52,55,47,41,40,,42,37,37,40,40,43,37,39,53,56,35,36,46,54,44,36,44,34,25,32,34,39,44,43,42,43,48,47,45,59,45
San Antonio,85,85,84,82,83,85,75,73,78,85,59,61,70,79,85,69,65,69,81,80,76,68,72,77,57,60,66,71,66,58,47,,51,57,60,70,73,76,70,49,57,64,68,39,38,44,51,53,60,63,67,72,73,64,58,61,66,70,58,56,68,77,,59,55,59,62,65,66,59,65,69,50,48,51,62,65,70,68,47,47,49,53,56,52,56,58,63,66,65,70,62,53,52
San Diego,67,73,72,73,76,79,80,76,70,76,78,76,70,68,76,79,70,71,74,77,82,85,82,85,82,80,69,68,66,66,70,,73,76,73,73,75,71,73,78,80,73,71,74,70,69,66,71,81,80,70,59,61,64,68,68,63,63,58,55,54,57,,60,63,64,61,63,65,66,63,60,63,63,65,67,61,58,60,58,57,60,65,66,63,57,56,54,51,55,56,56,55,61
Dallas,83,85,86,79,81,86,68,70,72,80,53,57,65,67,81,61,64,63,75,76,67,68,66,65,55,59,63,65,50,51,41,,47,52,54,63,63,70,55,48,54,61,56,33,39,45,51,51,55,60,67,65,70,52,48,56,61,68,48,47,57,69,,50,48,54,58,59,57,53,59,67,41,46,46,55,55,62,45,39,50,47,46,49,52,56,56,59,61,64,66,52,47,50
San Jose,64,71,67,66,74,79,82,78,67,67,73,76,72,73,76,66,63,62,63,67,73,78,77,83,82,79,63,64,63,64,66,,70,73,74,75,75,71,75,74,72,71,71,71,69,59,59,66,70,74,57,57,58,59,62,64,54,51,48,46,45,45,,53,55,57,55,54,56,58,57,58,56,59,62,57,52,48,51,53,51,54,54,53,51,50,47,48,49,48,51,50,52,52
